"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7954","checkChangeAccountPassword","Surefire suite","Sat Jul 12 22:57:16 GMT 2025","passed","Sat Jul 12 22:57:24 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","2945","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 22:57:52 GMT 2025","passed","Sat Jul 12 22:57:55 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","4969","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 22:58:16 GMT 2025","passed","Sat Jul 12 22:58:21 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","8154","checkChangeAvatar","Surefire suite","Sat Jul 12 22:57:24 GMT 2025","passed","Sat Jul 12 22:57:33 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","8265","checkSwitchTheme","Surefire suite","Sat Jul 12 22:57:41 GMT 2025","passed","Sat Jul 12 22:57:49 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","9110","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 22:57:55 GMT 2025","passed","Sat Jul 12 22:58:04 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","12560","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 22:58:21 GMT 2025","passed","Sat Jul 12 22:58:33 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","2895","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 22:57:49 GMT 2025","passed","Sat Jul 12 22:57:52 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","8261","checkChangeUserName","Surefire suite","Sat Jul 12 22:57:33 GMT 2025","passed","Sat Jul 12 22:57:41 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","11236","checkLogout","Surefire suite","Sat Jul 12 22:58:05 GMT 2025","passed","Sat Jul 12 22:58:16 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
